CNCF Maintainers Survey 2020 H2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Q1. Name,,,,,,,,,,,,,
Answered,97,,,,,,,,,,,,
Skipped,0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q2. Company (or independent, if applicable)",,,,,,,,,,,,,
Answered,97,,,,,,,,,,,,
Skipped,0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Q3. Email address,,,,,,,,,,,,,
Answered,97,,,,,,,,,,,,
Skipped,0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Q4. Which CNCF Project(s) are you maintaining?,,,,,,,,,,,,,
Answer Choices,Response Percent,Responses,,,,,,,,,,,
,,,,,,,,,,,,,
"Q12. Are your non-CI tooling needs being met (e.g., bots or automation)?10 - strongly agree, 1 - strongly disagree.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,N/A,Total,Weighted Average
star,1,2,1,1,1,7,4,12,20,20,28,97,8.16
Other (please specify),,,,,,,,,,,,11,
,,,,,,,,,,,,Answered,97
,,,,,,,,,,,,Skipped,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q13. Are your marketing needs being met (e.g., events, velocity reports)?10 - strongly agree, 1 - strongly disagree.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,N/A,Total,Weighted Average
star,1,1,2,3,3,5,4,22,10,20,26,97,7.89
Other (please specify),,,,,,,,,,,,17,
,,,,,,,,,,,,Answered,97
,,,,,,,,,,,,Skipped,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q14. Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)10 - strongly agree, 1 - strongly disagree.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Weighted Average,
star,1,0,2,1,4,7,9,21,23,29,97,8.26,
,,,,,,,,,,,Answered,97,
,,,,,,,,,,,Skipped,0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q15. Would you recommend CNCF to other open source projects, and why?10 - strongly agree, 1 - strongly disagree.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Weighted Average,
star,1,0,0,0,3,6,8,15,14,50,97,8.8,
Why?,,,,,,,,,,,53,,
,,,,,,,,,,,Answered,97,
,,,,,,,,,,,Skipped,0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q16. Do you find the CNCF DevStats tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Weighted Average,
star,3,1,3,2,6,7,6,17,16,36,97,8,
Why?,,,,,,,,,,,30,,
,,,,,,,,,,,Answered,97,
,,,,,,,,,,,Skipped,0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q17. Do you find the CNCF Cloud Native Landscape tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Weighted Average,
star,5,5,5,3,8,11,5,21,10,24,97,7.02,
Why?,,,,,,,,,,,34,,
,,,,,,,,,,,Answered,97,
,,,,,,,,,,,Skipped,0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q18. Do you find the CNCF End User Tech Radar tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,,,,,,,,,,,,
Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Weighted Average,
star,11,3,0,5,18,8,11,17,6,18,97,6.41,
Why?,,,,,,,,,,,41,,
,,,,,,,,,,,Answered,97,
,,,,,,,,,,,Skipped,0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q19. What diversity efforts could CNCF help out with for your project (e.g., maintainers, scholarships)?",,,,,,,,,,,,,
Answered,97,,,,,,,,,,,,
Skipped,0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q20. What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",,,,,,,,,,,,,
Answered,97,,,,,,,,,,,,
Skipped,0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Q21. What services do you wish the CNCF provided that it doesn't currently?*,,,,,,,,,,,,,
Answered,97,,,,,,,,,,,,
Skipped,0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Q22. Any other feedback that you wish to share, from what CNCF can do more or what we should do less?",,,,,,,,,,,,,
Answered,33,,,,,,,,,,,,
Skipped,64,,,,,,,,,,,,
