Respondent ID,Collector ID,Start Date,End Date,Which CNCF Project(s) are you maintaining?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Efficiency: Did you feel that the CNCF team responded quickly to your requests?,,"Are your documentation needs being met (e.g., website, tech writing)?","Are your CI needs being met (e.g., Travis CI, Circle etc)?",,"Are your security needs being met (e.g., security audits)?",,"Are your non-CI tooling needs being met (e.g., bots or automation)?",,"Are your marketing needs being met (e.g., events, velocity reports)?",,What is your feeling with respect to your overall experience with CNCF?,"Would you recommend CNCF to other open source projects, and why?",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
11089691006,248246892,2019-10-24 01:00:04,2019-10-24 01:07:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flux,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Neutral,Neutral,,Neutral,,Neutral,,Neutral,,8,7,"Being in the CNCF is a boost in terms of credibility, and it is worthy of recommendation for that reason.    We mostly had all our technical infrastructure sorted before, so our needs there are modest -- we have not really tested the capacity of the CNCF to help with infrastructure (thus the neutral scores above).","We do need help finding a larger set of maintainers, but it is not obvious to go about asking.","I understand that since Flux is only in the sandbox, there's no help offered for marketing.","Broadly speaking, the Flux project is pretty self-sufficient. The things we struggle with most are being able to keep up with issues and PRs -- but I wouldn't expect the CNCF to help with that, at least not directly.",
11089611547,248246892,2019-10-23 06:03:52,2019-10-24 00:18:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strimzi,,,Other (please specify),I sometimes find it difficult to know exactly what services CNCF is providing (and thus whether it meets project needs).,Neutral,,Strongly agree,,Agree,Neutral,"We use free travis.org, but it's not really meeting our needs.",N/A,"None requested, and none done.",N/A,Our project hasn't really formed a view about how such tooling could help us yet.,N/A,As sandbox project CNCF doesn't really do much marketing for us.,7,7,"I've had a positive experience so far, but it's still early days.","We really want to broaden our maintainers, but firsty we need broader contributors. But I don't really see how CNCF can help directly with that other than marketing.",Accepting one of our submissions to kubecon would be a start.,None that I can think of.,
11089478510,248246892,2019-10-23 22:38:00,2019-10-23 22:42:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strimzi,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Agree,N/A,,Neutral,,N/A,,Neutral,,7,Absolutely,,To get more contributors and so maintainers,"It would be great having some help on KubeCon or other CNCF supported conferences, with sessions and booths as well. Doing a webinar could be cool.",I think that right now it covers everything we need,
11089448588,248246892,2019-10-23 19:47:11,2019-10-23 22:19:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonfly,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Agree,Strongly agree,,Agree,,Strongly agree,,Agree,,8,9,"IMOP, CNCF is a neutral platform, it is open and highly transparent which is focus on solving technical problems. CNCF has almost become an industry standard and attracted many top projects for now.","More people were involved in the community, and we were lucky to find more good contributors and even maintainers.",CNCF provides a good platform to make the project well-publicized especially through the Kubecon conference.,None yet.,None yet.
11089447861,248246892,2019-10-23 22:07:35,2019-10-23 22:24:49,,,,,CoreDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Disagree,Disagree,,Agree,,Neutral,Wrote a github bot myself to help us.,Agree,,7,7,If you want to neutral home and help with getting (more) recognition. ,...,Most of our marketing is online and during KubeCons. I personally never watch webinars and the like. ,"Easy integration tests between projects, scale testing infra-structure /w kubernetes",
11089330806,248246892,2019-10-23 20:35:02,2019-10-23 20:40:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network Service Mesh,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Agree,Strongly agree,,N/A,,N/A,,Agree,,9,9,,N/A,N/A,N/A,
11089230051,248246892,2019-10-23 19:06:26,2019-10-23 19:28:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonfly,,,,,,,,,,,,,,"Yes, but my needs were not generally met",,Neutral,,Agree,,Neutral,Neutral,,Neutral,,Neutral,,Neutral,,9,Absolutely,,scholarships,project booths,none,
11089186408,248246892,2019-10-23 18:50:37,2019-10-23 18:58:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonfly,,,,,,,,,,,,,,"Yes, but my needs were not generally met",,Agree,,Neutral,,Neutral,Neutral,,Neutral,,Agree,,Disagree,,6,7,,scholarships,webinars,help to shorten the distance of end-users and projects,none
11089174604,248246892,2019-10-23 18:45:54,2019-10-23 18:49:52,,,,,,containerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,N/A,,Agree,Neutral,,Strongly agree,,Agree,,Agree,,9,Absolutely,,Timezone diversity,project booths,CI on several distros,
11088947824,248246892,2019-10-23 16:19:21,2019-10-23 16:28:35,Kubernetes,,,,,containerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Agree,,Agree,Agree,,Agree,,Agree,,Agree,,7,7,,,Project booth during KubeCon sounds good.,,
11088738015,248246892,2019-10-23 14:06:24,2019-10-23 14:37:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Longhorn,"Yes, and my needs were generally met",,Neutral,"We're new, so not really familiar with what's available...",Strongly agree,,Strongly Agree,N/A,,N/A,,N/A,,N/A,We're new so we don't know yet.,Fantastic,Absolutely,The initial support from CNCF is amazing. I didn't expect such great support from CNCF for a sandbox project. Kudos to the CNCF team!,We're looking for more outside contributors and potential maintainers. But I think it's mainly up to the project itself to step up it's game. So we are working towards that.,"As a sandbox project, we didn't expect much from the marketing perspective. A webinar would definitely be helpful if possible.",No.,"It seems all the information on how CNCF can help a project is scattered around. For example, I don't know the document of the service desk exists (https://github.com/cncf/servicedesk) until now. Maybe an onboard document or similar can help? "
