Respondent ID,Collector ID,Start Date,End Date,Which CNCF Project(s) are you maintaining?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Did you feel that the CNCF staff responded quickly to your requests?,,Did you feel that the CNCF TOC responded quickly to your requests?,"Are your documentation needs being met (e.g., website, tech writing)?","Are your CI needs being met (e.g., Travis CI, Circle etc)?",,"Are your security needs being met (e.g., security audits)?",,"Are your non-CI tooling needs being met (e.g., bots or automation)?",,"Are your marketing needs being met (e.g., events, velocity reports)?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)","Would you recommend CNCF to other open source projects, and why?",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
11414956858,254534439,03/13/2020 1:42:22 AM,03/13/2020 1:46:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenTelemetry,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Neutral,N/A,N/A,,N/A,,N/A,,Agree,,Satisfied,Agree,,Perhaps something like the Google Summer of Code,Booths at Kubecon would be nice,Publishing Zoom meeting recordings to YouTube,
11413615137,254534439,03/11/2020 8:48:53 PM,03/12/2020 5:22:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,Buildpacks,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Neutral,Disagree,N/A,,N/A,,N/A,,Agree,,Very Satisfied,Strongly Agree,CNCF provides a lot of value in both the ecosystem of people it brings together and the support it gives to its projects.,Programs to help grow maintainers/contributors in the project.,Project Booths or Virtual Booth Fairs?,N/A,The graduation from sandbox -> incubation -> graduation process is unclear and not well documented. Different members will tell you different things.
11412213305,254534439,03/12/2020 3:51:39 AM,03/12/2020 3:58:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChubaoFS,"Yes, and my needs were generally met",,Agree,,Agree,,Neutral,Strongly Agree,Strongly agree,,Agree,,Strongly agree,,Agree,,Satisfied,Agree,CNCF is a fast-growing open source org.,maintainers,project booths,adopter promotions,more support to sandbox projects
11410939056,254534439,03/11/2020 6:59:25 PM,03/11/2020 7:19:12 PM,,,,,,,gRPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, but my needs were not generally met",,Agree,,Strongly agree,,Neutral,Neutral,Agree,,Agree,,Agree,,Agree,,Neutral,Agree,CNCF is an industry recognized foundation and it has some of the most popular and successful open source projects. Going through the CNCF incubation process makes a project more viable in the open source.,More maintainers would help.,Presence at university hackathons to encourage use of CNCF projects would be useful.,Early help and guidance on project graduation process would be helpful.,
11410887988,254534439,03/11/2020 6:57:06 PM,03/11/2020 7:03:54 PM,,,,,,,,,,Envoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,"I think we get access to the resources we need, largely through having Matt/Chris A. act as our CNCF interface. I don't think there is general awareness amongst maintainers around the full range of CNCF programs.",Strongly agree,,Agree,Disagree,Neutral,"We have perpetual CI fires, largely because Envoy is scaling. I think the heroics that CNCF/Envoy/Tetrate have put together has us functioning today, but this isn't an off-the-shelf service/solution.",Neutral,We largely deal with security ourselves via the Envoy OSS security team.,Agree,RepoKitteh FTW,Strongly Agree,Looks like everything is going well here.,Very Satisfied,Agree,CNCF does a great job at providing independent governance and factoring out of shared concerns across OSS projects. Seems a no brainers to take the CNCF route for any emerging OSS project.,"Growing the pool of eligible maintainers, i.e. folks at major companies with funded mandate to work on Envoy, while advocating for diversity in maintainers and other representation has/will yield results.",N/A,Stronger sustained engagement on documentation and security; we get occasional contractors but there is no continuous thread here.,
11410866083,254534439,03/11/2020 6:52:47 PM,03/11/2020 6:57:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonfly,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Strongly Agree,Strongly Agree,Strongly agree,,Strongly agree,,Strongly agree,,Strongly Agree,,Very Satisfied,Strongly Agree,,scholarships,"project booths, webinars",Internationalization,
11410855573,254534439,03/11/2020 6:41:47 PM,03/11/2020 6:54:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonfly,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,Strongly Agree,Strongly agree,,Agree,,Neutral,,Agree,,Satisfied,Neutral,,Give more opportunities to the maintainer to have a technical exchange.,Increase user trust about this project.,*,*
11410848879,254534439,03/11/2020 6:46:08 PM,03/11/2020 6:52:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonfly,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Neutral,,Agree,,Agree,Agree,Agree,,Agree,,Agree,,Agree,,Satisfied,Agree,,I think we are good,"Dragonfly is sort of successful in China, probably we need some guidance on how to increase more adoption and feedback outside of China.",Not sure.,No.
11410743585,254534439,03/11/2020 6:13:19 PM,03/11/2020 6:21:05 PM,,,,,CoreDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (please specify),"I would still like to see more cross-project integration; or at least the possibilties to do so. I've got no fleshed out idea atm, but we're under the same org each project should be able share and learn from each other.",Neutral,,Strongly agree,,Agree,Disagree,Disagree,"Travis is slow. We wrote our own kubernetes testing frame which was later ported to circle-ci. Not great, not (super) terrible",Agree,3rd party fuzzers are helping as well,Strongly disagree,"no, wrote my own (github.com/miekg/dreck) , although github is getting better",Strongly Agree,,Satisfied,Agree,"Marketing, help and visibility (if you want your project to grow)",findiing good and trusted maintainers is hard,"More free swag - I.e. I sometimes see calls for it on twitter, but this requires me to dish out money. Feels a bit odd to in addition of giving this project my free time I also need to pay for stickers (or what not) to give them to some else. Did this once to the tune of $50 to get 10 stickers delivered to Austria. ",Not sure,
11410566461,254534439,03/11/2020 5:25:37 PM,03/11/2020 5:28:47 PM,,,,,,,,,,,,,Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Agree,,Neutral,Agree,Agree,,Strongly agree,,Agree,,Agree,,Satisfied,Agree,Great marketing and support.,We need more maintainers (inc diverse) looking forward to the new SIG contribex,"Ok at present, may change.",ok at present,
11410563664,254534439,03/11/2020 5:25:21 PM,03/11/2020 5:28:10 PM,,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,Cortex,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Strongly Agree,,Strongly agree,,Neutral,Strongly Agree,Strongly agree,,Strongly agree,,Strongly agree,,Strongly Agree,,Satisfied,Neutral,,Can't think of any,The Prometheus/Cortex/Thanos project booth at KubeCon is always busy.  Recognise the overlap between these projects?,Can think of any.,
11409472819,254534439,03/11/2020 9:22:47 AM,03/11/2020 9:26:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strimzi,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Agree,Agree,N/A,,Agree,,N/A,,Agree,,Neutral,Strongly Agree,,Maybe scholarships,"More webinar. As new sandbox project, Strimzi didn't have one yet.","I am fine with what is provided right now, to be honest.",
11407721188,254534439,03/10/2020 7:12:48 PM,03/10/2020 7:13:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In-Toto,,,,,"Yes, and my needs were generally met",,Neutral,,Strongly agree,,Agree,Agree,Neutral,,Agree,,Neutral,,Neutral,,Satisfied,Agree,I feel the community in general is very welcoming to collaborate and improve.,I think scholarships and outreach would go a long way for in-toto,"I liked the logo re-design. Unfortunately sandbox projects don't get support with press releases and such, which I could've used once or twice.","Rather than new services, I think it'd be useful to increase the offering for incubation/sandbox projects",
11407619791,254534439,03/10/2020 6:15:10 PM,03/10/2020 6:42:44 PM,,,,,,,,,,,,,,,,,,,,,Telepresence,,,,,,,,,,,,,,,,,,,,,,,,Other (please specify),Some outreach; very slow response which means we get sidetracked with other priorities.,Neutral,,Neutral,,Neutral,Disagree,Strongly agree,,Disagree,,Neutral,,Disagree,,Neutral,Neutral,,find more maintainers & connect companies,technical blogging & docs,technical blogging & docs,"The CNCF is a good group of hard working individuals with good intentions. In my experience, the CNCF is organized around a set of loose principles with a fairly distributed governance model. This is both good (inclusive) and bad (there's a lot of sprawl/scope).    As with many things, you get from CNCF what you put in. As a startup, it's hard for us to heavily resource CNCF-related work. My suggestions:    - have a technical person (or two, or three) work in marketing. It's clear that there's a gap in technical knowledge (e.g., the CNCF survey has technical errors -- why is Netflix Zuul a service mesh? From the Zuul website: ""Zuul is a gateway service that provides dynamic routing, monitoring, resiliency, security, and more.""  - staff a technical doc team that can write blog posts on CNCF technology -- imagine if graduated projects got 1 blog post/month; incubation projects got 1 blog post/quarter; sandbox projects got 1 blog post every 6 months; etc. this would help educate users.  - I think the real value CNCF can provide is connecting community members with each other (e.g., we'd love to find more maintainers). that hasn't happened.    "
11407485248,254534439,03/10/2020 5:54:19 PM,03/10/2020 6:02:30 PM,,,,,,,,Linkerd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Agree,,Neutral,Neutral,Agree,,Agree,,Agree,,Agree,,Satisfied,Agree,"CNCF has been a visible, neutral home for our project as it grows.",We're always eager to attract a broader more diverse group of maintainers to the project.,"We know that there are a ton of companies using Linkerd for serious things, but it's very rare for them to reach out to us and start a dialog. Can CNCF do anything to help identify end-user organizations and encourage/incentivize their participation in the community?",idk,
11406509621,254534439,03/10/2020 11:13:44 AM,03/10/2020 12:32:58 PM,,,,,,,,,,,Jaeger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Agree,Strongly Agree,Agree,,Strongly agree,,Strongly agree,,Strongly Agree,,Satisfied,Strongly Agree,Provides excellent support and eco-system for the project to grow.,Has already helped with outreachy.,For others to discuss.,none,Continue the great work!
11406337915,254534439,03/10/2020 10:36:19 AM,03/10/2020 10:50:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KubeVirt,,,"Yes, and my needs were generally met",,Disagree,"We got an email once, but I'm missing to recall a central place to discover these informations again.",Strongly agree,,Neutral,Neutral,Neutral,We REALLY need to follow up here.,Neutral,,N/A,Need to check,N/A,Did not leverage them yet,Neutral,Strongly Agree,,Offering scholarships,I did not think about it yet.,All good,
11406118616,254534439,03/10/2020 7:22:53 AM,03/10/2020 7:40:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenEBS,,,,,,,,,"Yes, and my needs were generally met",,Agree,Yet to learn about complete list of resources available.,Strongly agree,,Strongly Agree,N/A,N/A,We are a sandbox project. Not sure if our CI needs will be covered.,N/A,Have not started yet.,Agree,,N/A,Have not started using this service.,Satisfied,Strongly Agree,"CNCF helps maintainers by focusing on the open-source eco-system activities that are beyond the technical goals of the project. For instance, maintainers focus on product architecture and design, but CNCF helps maintainers and community with governance, licensing, tooling and many such activities that are a must for an open-source project to succeed. ","maintainers, contributors ","social media, newsletters, blogs about projects",Repository health checks to adhere to CNCF guidelines. Documentation of the projects.,"Interacting with CNCF staff and getting the responses have been amazing. Hoping to see some blogs and getting to know how CNCF does this amazing work. These might help to replicate at an individual project level and maybe reduce the burden back on CNCF staff.     Project community and roadmap management-related training or create some community bridge programs to help bring project management professionals to help with CNCF projects. On a related note, maybe a project management tool like zenhub can also be a good addition.    "
11405789969,254534439,03/10/2020 3:30:16 AM,03/10/2020 3:35:20 AM,,,,,,,,,,,,,,,,,,,,,,,,,TiKV,,,,,,,,,,,,,,,,,,,,"Yes, and my needs were generally met",,Agree,,Strongly agree,,Strongly Agree,Strongly Agree,Strongly agree,,Strongly agree,,Strongly agree,,Agree,,Satisfied,Agree,,NA,"Webinars, Internationalization",NA,
